gene_id	tss_1based	cis_qc_variant_count	mean_maf	dev_expression_variance	target_T_g	score_model_C_gene	score_linear_B	r2_A	r2_B	r2_C_gene	r2_C_full
ENSG00000186481.16	14179097	6398	0.253353	0.954530	-0.000083	0.031964	0.000304	-0.000003	-0.000115	-0.019070	-0.002925
ENSG00000186496.11	35377337	4616	0.201986	0.916170	0.207071	0.044272	0.208070	0.000006	-0.027737	-0.010975	-0.112480
ENSG00000186812.12	35241036	4394	0.191667	0.902272	0.012597	0.156544	0.143205	-0.002818	0.009235	0.010532	-0.016830
ENSG00000186814.13	35290245	4505	0.188623	0.976025	0.092884	0.534193	0.162111	0.030178	0.044838	-0.145987	0.045135
ENSG00000196628.16	55664787	4303	0.230241	1.056909	0.014018	0.752588	0.047186	0.063025	-0.001203	-0.133188	-0.001413
ENSG00000197563.10	62187118	5477	0.205469	0.947394	0.155156	0.964556	0.512746	-0.005978	0.051781	-0.591821	0.063822
ENSG00000197632.8	63871692	6225	0.240120	0.983687	0.023884	0.319500	0.166517	0.337643	-0.022290	-0.054441	-0.014034
ENSG00000197971.14	77133683	7889	0.226318	0.983105	0.205502	0.428807	0.234978	0.350594	0.220707	0.079100	0.184325
ENSG00000198081.10	5297053	6152	0.227539	0.957903	0.249023	0.251575	0.218146	-0.039857	0.071127	-0.037939	0.045942
ENSG00000206418.4	8609437	6107	0.215495	1.072873	0.075037	0.000838	0.112929	0.045427	0.060139	0.000536	0.066384
ENSG00000215421.9	74597870	5677	0.210726	0.939039	0.084931	0.231112	0.195326	0.034116	0.043698	0.008727	0.031353
ENSG00000221887.5	63949301	6317	0.240316	1.147254	-0.000224	0.138149	0.000722	-0.000018	-0.000123	-0.046343	-0.001043
ENSG00000226742.3	79964561	4502	0.236670	0.901682	0.240940	0.467474	0.520481	-0.221009	-0.280021	-0.223499	-0.183351
ENSG00000235297.3	74390297	6083	0.223730	0.894863	0.104247	0.041280	0.130252	0.000002	0.064256	-0.002825	0.048426
ENSG00000255112.2	11851396	6780	0.236784	0.986815	-0.000280	0.000394	0.000530	-0.000013	-0.000121	-0.000094	-0.001435
ENSG00000257267.3	35290282	4505	0.188623	1.067524	0.066085	0.212075	0.259040	0.019855	0.120996	0.063846	0.054090
ENSG00000258609.3	57072119	5400	0.206673	0.840160	0.007630	0.000545	0.044749	0.049019	0.002915	0.000206	0.001564
ENSG00000259985.1	31685655	5117	0.252018	1.010457	0.046831	0.003690	0.159736	0.156959	-0.031630	0.000491	0.001063
ENSG00000261520.5	4264602	6834	0.235693	0.871084	-0.000183	0.304231	0.000467	0.349618	0.000044	-0.017405	0.000704
ENSG00000262001.1	3603000	6934	0.229801	1.008406	0.003182	0.000296	0.024773	-0.018023	0.010606	0.000112	0.013754
ENSG00000263606.1	2946890	7254	0.238477	1.013147	0.005098	0.245200	0.034996	0.003536	0.013199	0.021821	0.014023
ENSG00000263753.7	5238599	6150	0.217090	1.120401	0.548236	0.048519	0.580449	-0.026245	0.287198	0.056463	0.322664
ENSG00000263812.5	76528655	7509	0.208057	1.093319	0.066308	0.359198	0.235397	-0.268431	-0.137168	-0.398243	-0.163072
ENSG00000263823.1	31942575	5109	0.229525	0.942865	0.002688	0.394320	0.034649	0.000934	0.005211	-0.082142	0.004210
ENSG00000263829.1	26256355	4907	0.222819	0.889757	0.000630	0.401837	0.008763	-0.026203	0.002202	-0.333545	-0.008423
ENSG00000263847.1	9115877	6753	0.231104	0.961573	-0.000034	0.000332	0.000269	-0.000006	0.000044	-0.000178	-0.001037
ENSG00000263884.1	268148	4561	0.223421	0.988604	-0.000061	0.000375	0.000463	-0.000013	0.000040	-0.000205	-0.001016
ENSG00000263958.1	72868388	7117	0.221924	0.881113	-0.000000	0.000826	0.000819	-0.064446	-0.000208	0.000029	-0.001807
ENSG00000264235.5	3261850	7228	0.236637	1.056556	-0.000014	0.000377	0.000628	-0.000027	-0.000267	-0.000175	-0.023099
ENSG00000264247.1	74598508	5675	0.222917	0.863051	0.008824	0.171689	0.049148	-0.155945	0.013697	0.012600	0.015047
ENSG00000264278.1	76822295	7905	0.212126	0.992333	0.122061	0.176117	0.540457	-0.005573	0.001804	-0.036640	-0.191914
ENSG00000264350.1	54407114	5984	0.231917	1.041714	0.007138	0.000366	0.049481	-0.000008	-0.027933	-0.000120	-0.033935
ENSG00000264575.1	5237825	6151	0.214469	0.957500	0.032805	0.000600	0.174230	0.082611	0.042880	0.000367	0.028292
ENSG00000264714.1	10724619	7224	0.233008	0.832339	-0.000027	0.000266	0.000312	0.139141	0.000167	0.000090	0.001942
ENSG00000264745.1	24015339	4661	0.223649	0.857881	0.004408	0.064793	0.068532	0.158034	0.051705	0.036422	0.070496
ENSG00000265158.1	31724198	5158	0.245703	0.910448	0.116135	0.444061	0.203585	0.212833	0.125189	0.065270	0.095497
ENSG00000265778.2	76491652	7404	0.211882	0.955758	0.043102	0.036309	0.127858	0.036998	0.003488	0.014484	0.007491
ENSG00000265781.1	71011490	6243	0.229167	0.866761	0.051834	0.000379	0.138305	0.448649	0.016800	0.000037	-0.004380
ENSG00000265787.2	14337423	6279	0.244727	0.906655	0.002215	0.144927	0.046178	-0.006419	-0.016555	-0.087308	-0.128373
ENSG00000265943.1	22933764	4190	0.221159	1.005978	0.033613	0.000983	0.079662	0.061899	0.053508	0.000253	0.053176
ENSG00000266053.2	9136645	6782	0.229329	0.861973	0.060490	0.168009	0.194282	-0.097943	-0.143921	-0.117149	-0.179206
ENSG00000266145.1	14222008	6409	0.248958	0.938631	-0.000002	0.000368	0.000327	-0.000002	0.000004	-0.000124	-0.000967
ENSG00000266171.1	735746	6096	0.237939	0.941302	0.017140	0.365125	0.169925	-0.072112	0.001620	-0.022380	0.005644
ENSG00000266397.1	2967018	7094	0.234863	0.677440	-0.000426	0.000774	0.000585	-0.063629	-0.000205	-0.000030	-0.002235
ENSG00000266456.1	650335	5838	0.241797	0.867107	-0.000082	0.029799	0.000266	-0.000004	-0.000002	0.021157	0.001295
ENSG00000266604.1	10626353	7287	0.240560	0.915365	0.023733	0.223264	0.265438	0.033220	0.106428	0.123148	0.096501
ENSG00000266708.1	8636252	6180	0.235368	1.017018	0.013921	0.050161	0.061890	-0.040939	0.019433	0.026590	0.003158
ENSG00000266783.1	2562220	7752	0.243994	0.952842	0.112543	0.156347	0.267088	0.010107	0.043024	0.016730	0.039165
ENSG00000266920.1	62442028	5483	0.209342	0.984335	0.002655	0.215979	0.017684	-0.000100	-0.002853	-0.118738	-0.113733
ENSG00000266946.1	58690356	6792	0.223470	0.865303	0.002803	0.000780	0.131088	0.000002	-0.104695	-0.000188	-0.001691
ENSG00000267150.1	14089935	6152	0.234684	1.066354	0.123505	0.701760	0.198715	-0.002969	0.061067	-0.459862	0.090731
ENSG00000267199.1	12438890	6434	0.232585	1.054300	0.000304	0.000608	0.004012	0.018674	0.003027	0.000180	0.002643
ENSG00000267226.2	58671877	6831	0.225374	0.860173	-0.000006	0.000619	0.000538	-0.168083	0.000199	0.000126	0.000739
ENSG00000267249.1	12671145	6145	0.241016	0.970134	0.041313	0.169860	0.063952	0.109417	0.047044	0.045976	0.033480
ENSG00000267257.1	58538225	6819	0.214453	1.005230	0.041937	0.374003	0.142595	0.195825	0.083392	0.068264	0.063635
ENSG00000267293.1	46028306	4939	0.225635	0.875958	-0.000041	0.000300	0.000254	0.049901	0.000053	0.000070	0.000303
ENSG00000267322.2	49814023	6169	0.223877	0.975004	-0.000014	0.043278	0.000590	-0.000003	-0.000022	0.015174	0.000945
ENSG00000267366.1	13501289	6207	0.256527	0.878014	-0.000077	0.000320	0.000292	0.041752	0.000017	-0.000073	-0.000730
ENSG00000267390.1	63367511	5361	0.222070	0.928565	-0.000092	0.058971	0.000260	0.000010	0.000122	-0.007575	-0.002295
ENSG00000267529.3	13472709	6187	0.252393	0.738052	0.005499	0.000726	0.037313	0.034150	-0.007701	-0.000032	-0.000660
ENSG00000267533.1	12068417	6701	0.237777	0.900529	-0.000008	0.000434	0.000368	0.018887	0.000030	-0.000071	-0.000224
ENSG00000267560.1	62300998	5485	0.210465	0.802343	0.003507	0.000521	0.037318	0.000022	-0.019883	-0.000496	-0.004484
ENSG00000267583.5	35467088	4716	0.208936	0.967865	0.070849	0.039581	0.222605	-0.105059	0.121370	0.003933	0.029373
ENSG00000267702.1	13486462	6203	0.225326	0.964281	-0.000054	0.000415	0.000334	0.093309	0.000010	0.000067	-0.000111
ENSG00000267742.1	60017441	6514	0.228776	0.861785	-0.000034	0.158760	0.000413	0.024856	0.000250	0.022002	0.018922
ENSG00000267764.1	48834770	5802	0.220410	0.954326	0.013819	0.000420	0.180797	0.000005	-0.043530	0.000068	-0.000921
ENSG00000267787.6	57639455	6013	0.218066	1.030340	0.206652	0.000499	0.507677	0.141585	-0.211209	0.000100	0.003873
ENSG00000268573.1	35285177	4493	0.195915	1.032943	0.161755	0.156958	0.191635	0.043498	0.012624	0.049640	-0.023536
ENSG00000272746.1	13526078	6206	0.233854	0.891053	-0.000071	0.003892	0.000408	-0.196867	0.000097	0.001192	0.001358
ENSG00000273284.1	9259388	6776	0.244694	1.150725	0.159235	0.335191	0.265434	-0.125568	0.086053	-0.224746	0.046511
ENSG00000273335.1	9474006	6968	0.232422	0.811344	-0.000028	0.000528	0.000236	0.000000	0.000088	0.000123	0.001341
ENSG00000273355.1	813274	6429	0.219743	1.064958	0.027518	0.194957	0.043633	0.027604	0.008701	-0.035836	0.014881
ENSG00000273669.1	75073543	5857	0.211637	0.999262	-0.000011	0.000610	0.000539	0.078193	0.000212	0.000141	0.003299
ENSG00000274184.1	35268218	4467	0.193311	0.884601	0.167455	0.332610	0.200313	0.007682	-0.001085	-0.107858	-0.003052
ENSG00000274354.1	58512310	6778	0.238070	0.869447	-0.000064	0.000369	0.000334	0.099382	0.000137	-0.000041	0.000465
ENSG00000274776.1	46789297	4572	0.233594	1.071071	0.000245	0.040023	0.005901	-0.037107	-0.000710	-0.004963	-0.003996
ENSG00000274828.1	79679358	5640	0.228939	0.921677	0.009482	0.042232	0.052251	-0.141099	-0.019193	-0.008139	-0.114544
ENSG00000275418.1	58659858	6841	0.227555	0.918102	-0.000113	0.149796	0.000376	0.006968	-0.000076	0.013418	-0.000502
ENSG00000275763.3	76495521	7417	0.215007	0.909582	0.006006	0.000425	0.026252	-0.130587	0.009201	0.000132	0.002363
ENSG00000277534.1	26545791	4770	0.219401	0.856637	0.025076	0.198898	0.042413	0.033658	-0.023135	-0.066989	-0.028689
ENSG00000278000.1	80161752	3901	0.222070	1.032701	0.006160	0.000606	0.055306	0.000230	0.034491	0.000395	0.006308
ENSG00000278107.1	76805736	7952	0.218066	0.867606	-0.000182	0.000370	0.000512	-0.000026	-0.000448	-0.000156	-0.004498
ENSG00000278330.1	77112602	7848	0.223340	1.041310	0.009197	0.060425	0.052560	-0.001998	-0.008392	-0.012470	-0.010581
ENSG00000278986.1	35972908	4795	0.213021	1.061148	0.002792	0.038417	0.031390	-0.074640	-0.001877	-0.009160	-0.000343
ENSG00000279077.1	79352458	7062	0.219889	0.800166	-0.000135	0.103952	0.000510	0.000005	0.000198	-0.041762	0.002111
ENSG00000279885.1	6398020	6101	0.231787	0.818920	0.013580	0.191534	0.029131	0.000022	0.015064	0.037706	0.010970
ENSG00000280212.1	47076117	4485	0.229492	0.804270	0.167019	0.178548	0.216925	0.071263	0.056116	-0.041220	-0.026894
ENSG00000283125.1	63207622	5337	0.237044	0.877036	-0.000121	0.000833	0.000560	0.000007	0.000208	0.000028	0.002730
