block_id	chrom	core_start0	core_end0	core_start1	core_end1	guard_start0	guard_end0	guard_start1	guard_end1	split	coordinate_contract	block_source
DEV_22_0013	22	13000000	14000000	13000001	14000000	12000000	15000000	12000001	15000000	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0014	22	14000000	15000000	14000001	15000000	14000000	15000000	14000001	15000000	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0015	22	15000000	16000000	15000001	16000000	14000000	17000000	14000001	17000000	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0016	22	16000000	17000000	16000001	17000000	16000000	17000000	16000001	17000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0017	22	17000000	18000000	17000001	18000000	16000000	19000000	16000001	19000000	test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0018	22	18000000	19000000	18000001	19000000	18000000	19000000	18000001	19000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0019	22	19000000	20000000	19000001	20000000	18000000	21000000	18000001	21000000	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0020	22	20000000	21000000	20000001	21000000	20000000	21000000	20000001	21000000	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0021	22	21000000	22000000	21000001	22000000	21000000	22000000	21000001	22000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0022	22	22000000	23000000	22000001	23000000	22000000	23000000	22000001	23000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0023	22	23000000	24000000	23000001	24000000	23000000	24000000	23000001	24000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0024	22	24000000	25000000	24000001	25000000	23000000	26000000	23000001	26000000	test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0025	22	25000000	26000000	25000001	26000000	25000000	26000000	25000001	26000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0026	22	26000000	27000000	26000001	27000000	26000000	27000000	26000001	27000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0027	22	27000000	28000000	27000001	28000000	27000000	28000000	27000001	28000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0028	22	28000000	29000000	28000001	29000000	27000000	30000000	27000001	30000000	test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0029	22	29000000	30000000	29000001	30000000	29000000	30000000	29000001	30000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0030	22	30000000	31000000	30000001	31000000	29000000	32000000	29000001	32000000	test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0031	22	31000000	32000000	31000001	32000000	31000000	32000000	31000001	32000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0032	22	32000000	33000000	32000001	33000000	32000000	33000000	32000001	33000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0033	22	33000000	34000000	33000001	34000000	33000000	34000000	33000001	34000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0034	22	34000000	35000000	34000001	35000000	34000000	35000000	34000001	35000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0035	22	35000000	36000000	35000001	36000000	35000000	36000000	35000001	36000000	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0036	22	36000000	37000000	36000001	37000000	35000000	38000000	35000001	38000000	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0037	22	37000000	38000000	37000001	38000000	37000000	38000000	37000001	38000000	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0038	22	38000000	39000000	38000001	39000000	38000000	39000000	38000001	39000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0039	22	39000000	40000000	39000001	40000000	39000000	40000000	39000001	40000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0040	22	40000000	41000000	40000001	41000000	39000000	42000000	39000001	42000000	test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0041	22	41000000	42000000	41000001	42000000	41000000	42000000	41000001	42000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0042	22	42000000	43000000	42000001	43000000	42000000	43000000	42000001	43000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0043	22	43000000	44000000	43000001	44000000	43000000	44000000	43000001	44000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0044	22	44000000	45000000	44000001	45000000	43000000	46000000	43000001	46000000	test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0045	22	45000000	46000000	45000001	46000000	45000000	46000000	45000001	46000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0046	22	46000000	47000000	46000001	47000000	45000000	48000000	45000001	48000000	test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0047	22	47000000	48000000	47000001	48000000	47000000	48000000	47000001	48000000	buffer_test	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0048	22	48000000	49000000	48000001	49000000	48000000	49000000	48000001	49000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0049	22	49000000	50000000	49000001	50000000	49000000	50000000	49000001	50000000	train	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0050	22	50000000	51000000	50000001	51000000	50000000	51000000	50000001	51000000	buffer_validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
DEV_22_0051	22	51000000	51304566	51000001	51304566	50000000	52304566	50000001	52304566	validation	start0/end0=0-based-half-open;start1/end1=1-based-inclusive	DEVELOPMENT_ONLY_FIXED_BP
